source,url,title,day_posted,country,category
lever,https://jobs.lever.co/leolabs-2/ab781976-b0e8-4e9c-a114-3f8f7883f046,Electrical Engineering Intern,2025-11-24,United Kingdom,tech
lever,https://jobs.lever.co/zoox/dbfab8fc-0975-439d-bab9-3a82cae32b59,Infrastructure Platform Engineer Intern,2025-11-20,United Kingdom,tech
lever,https://jobs.lever.co/standtogether/04ce035c-b3df-4122-a6a1-20d85f7ff252,KIP Spring 2026 - Intern - America&#39;s Future,2025-09-17,United Kingdom,business
lever,https://jobs.lever.co/shieldai/2ab7a6a5-e47d-4899-b924-01e6b61f5d88,2026 Summer Intern - RF Engineering - (R4101),2025-11-26,United Kingdom,tech
lever,https://jobs.lever.co/jobgether/f104ab74-26d3-4f21-a087-e6150f10cd75,Express Solutions Development Intern,2025-11-28,United States,tech
lever,https://jobs.lever.co/shieldai/00637eb9-c959-424a-8aea-ef6483655973,Mission Systems Engineering Intern - 2026 Summer Intern (R4070),2025-11-21,United Kingdom,tech
lever,https://jobs.lever.co/shieldai/b073413a-0adf-40db-bf95-3721b2734531,"2026 Summer Intern - Hardware Test, Mechanical Engineering (R4067)",2025-11-26,United Kingdom,tech
lever,https://jobs.lever.co/tri/dd1a636b-b852-472a-bb17-bcb51c23411c,Robotics Intern - Teleoperation and Spatial Computing,2025-11-11,United Kingdom,tech
lever,https://jobs.lever.co/oleria-security/570265cf-34f7-4b1b-b76a-171be3c13a64,Summer Marketing Intern,2025-10-08,United Kingdom,finance
lever,https://jobs.lever.co/geocomply-2/243686f7-27b8-4cd0-a9df-d4a60de345dc,IT Automation Intern - Winter 2026,2025-10-17,United Kingdom,tech
lever,https://jobs.lever.co/ecosystem/5b579cf3-5bb2-4560-90ea-3230378b1178,Construction Intern,2025-09-30,United Kingdom,tech
lever,https://jobs.lever.co/foth/d07028ae-84aa-45bc-8784-327e34ad8722,Civil Engineering Intern (Summer 2026),2025-11-20,United Kingdom,tech
lever,https://jobs.lever.co/joelefrank/7702369c-6ae3-43ee-afe9-03c50417621c,2026 Summer Internship (San Francisco),2025-11-19,United Kingdom,other
lever,https://jobs.lever.co/jobgether/fa67f32d-faf4-40d4-89af-9a6f9aa9ff98,Intern - IT Infrastructure Development Operations,2025-11-28,United States,tech
lever,https://jobs.lever.co/dga/d118e206-81d8-4dd4-b3e0-ec34c4ad17d5,Spring 2026 Compliance Internship,2025-11-12,United Kingdom,other
lever,https://jobs.lever.co/leolabs-2/583a93a9-1ea2-4f4d-9204-e41f6833db7b,Launch &amp; Orbit Support Team Intern,2025-11-24,United Kingdom,tech
lever,https://jobs.lever.co/zoox/?workplacetype%5B0%5D=onsite&workplacetype%5B1%5D=remote&workplacetype%5B2%5D=hybrid&workplacetype%5B3%5D=hybrid&workplacetype%5B4%5D=onsite&workplacetype%5B5%5D=hybrid&department=Zoox%20Internships,Zoox,2025-11-29,United Kingdom,other
lever,https://jobs.lever.co/standtogether/33adbc7a-cd44-4f6a-9c47-d5a3cc9d0a3a?source=JobTarget,KIP Spring 2026 - International Programs Intern - Foundation for Economic Education,2025-09-24,United Kingdom,tech
lever,https://jobs.lever.co/syntax/df170288-c049-4e75-a0c3-1c55b24f454d,Data Analyst Intern,2025-11-22,United Kingdom,tech
lever,https://jobs.lever.co/tri/a79db09f-aa1d-4e08-8858-1c9fa996858d,Energy &amp; Materials Intern - Probabilistic Programming,2025-11-21,United Kingdom,tech
lever,https://jobs.lever.co/standtogether/ea2adbb0-d996-4a16-99c0-086bf1a9128c/apply,Stand Together - KIP Spring 2026 - Editorial Intern,2025-11-23,United States,other
lever,https://jobs.lever.co/tkda/b5789ee7-f5bf-40b1-9ffb-4d084eac9711/apply,"2026 Summer Intern - Structural Engineering, Buildings",2025-11-23,United Kingdom,tech
lever,https://jobs.lever.co/findhelp/651c32a0-195e-4db7-9ad7-cccbd58f8975/apply,Software Engineer Summer Intern,2025-11-24,United Kingdom,tech
lever,https://jobs.lever.co/leolabs-2/52ed9339-1d07-4c53-95d9-b862969a94a2,Legal Operations Intern,2025-11-24,United Kingdom,business
lever,https://jobs.lever.co/MachinaLabs/1e24999b-9c52-4805-823b-ab2821611f74?lever-source%5B%5D=jobs.gaingels.com,"Frontend Software Engineer, Intern",2025-11-19,United Kingdom,tech
lever,https://jobs.lever.co/matchgroup/66cc088d-e7e7-464d-8155-a804e0c04f0e,Product Design Intern,2025-11-23,United Kingdom,tech
lever,https://jobs.lever.co/lumafield/df6e57dd-d39c-4fd2-9cf0-145a860e5f52/apply,"Lumafield - Product Intern, Hardware",2025-11-23,United Kingdom,other
lever,https://jobs.lever.co/standtogether/fe101a0b-1dc1-40c1-8294-2148b08da333?lever-origin=applied&lever-source%5B%5D=JobTarget&source=JobTarget,KIP Spring 2026 - Fiscal Policy Intern - Independence Institute,2025-10-28,United Kingdom,other
lever,https://jobs.lever.co/MachinaLabs/8615b22a-a49e-49e9-8b66-b23506979912,"Manufacturing Engineer, Intern",2025-11-19,United Kingdom,tech
lever,https://jobs.lever.co/tri/d8460a0d-24f0-4db5-9f10-04664a8526f3/apply,Robotics Intern - Learning from Humans & Language ...,2025-11-23,United Kingdom,other
lever,https://jobs.lever.co/wadetrim/0153e93b-b4c4-4058-9f29-f2e97a4599a8?lever-origin=applied&lever-source%5B%5D=JobTarget&source=JobTarget,Engineer Summer Intern - #2809.32,2025-08-21,United Kingdom,tech
lever,https://jobs.lever.co/brooksrunning/cdb26bb5-4c21-45a6-906b-5f10818cda6d,Marketing Intern EMEA,2025-11-24,United Kingdom,business
lever,https://jobs.lever.co/matchgroup/178e6f99-ddbb-43e1-9e4c-fe2b524e0861/apply?utm_source=Simplify&ref=Simplify,Match Group - iOS Engineer Intern,2025-11-23,United Kingdom,tech
lever,https://jobs.lever.co/oleria-security/570265cf-34f7-4b1b-b76a-171be3c13a64/apply,Oleria Security - Summer Marketing Intern,2025-11-23,United Kingdom,business
lever,https://jobs.lever.co/marcusmillichap/fcc6df54-5ae0-4f1e-a789-6ea4d52fe762,Las Vegas Commercial Real Estate Investment Sales Intern - Summer 2026,2025-11-24,United Kingdom,finance
lever,https://jobs.lever.co/wadetrim/702dfa6c-b683-42de-8e4b-f85e50fc1b8c,Engineer Summer Intern - #2810.17,2025-08-21,United Kingdom,tech
lever,https://jobs.lever.co/marcusmillichap/1e6a3779-2600-465d-b7fd-da4625f5bfa4,Charleston Commercial Real Estate Investment Sales Intern - Summer 2026,2025-11-10,United Kingdom,finance
lever,https://jobs.lever.co/marcusmillichap/c845d882-1ce5-42a2-9812-4e802e76ee89,Inland Empire (Ontario) Commercial Real Estate Investment Sales Intern - Summer 2026,2025-11-24,United Kingdom,finance
lever,https://jobs.lever.co/dnb/4cafbbb9-b23c-4b87-b76b-7749d50430b1/apply,Dun & Bradstreet - Data Scientist - AI Engineer II (R-18581),2025-11-24,United States,tech
lever,https://jobs.lever.co/brightonjones/df4ef0d0-f51b-4be0-9896-0ee448155eea/apply,Brighton Jones - Winter Tax Internship: February - April 2026,2025-11-22,United Kingdom,other
lever,https://jobs.lever.co/ninjavan/da7af4ee-d401-4bd1-bdf1-fed6b23d6bdc/apply?lever-source=LinkedIn,"Ninja Van - Intern, Admin Transport Management",2025-11-26,United Kingdom,other
lever,https://jobs.lever.co/alice-bob/ffd18cb1-8884-4058-be8b-80dc5f15eac2,Marketing Operations Internship (January 2026),2025-11-19,United Kingdom,tech
lever,https://jobs.lever.co/tevora/744e04f9-229e-43ac-9c5c-d8db8b6b7747/apply,Tevora - Cybersecurity Internship Summer 2026 - Payments,2025-11-22,United Kingdom,other
lever,https://jobs.lever.co/ethree/6bfb22d0-5461-4316-8743-7dde99398f6b/apply,2026 Consulting Internship,2025-11-23,Canada,business
lever,https://jobs.lever.co/bpmcpa/,BPM LLP,2025-11-25,United Kingdom,other
lever,https://jobs.lever.co/westair/fcf4999c-33cc-477d-8f7d-b4a5a560435c,Structures Internship - SkillBridge,2025-11-04,United Kingdom,other
lever,https://jobs.lever.co/mistral/8a767935-0455-48e5-9cec-ff1016626a92,Recruitment Coordinator (Internship),2025-11-19,United States,tech
lever,https://jobs.lever.co/clovirtualfashion/4328102d-e972-4cce-b155-59e9d2a3a587,"R&amp;D, Summer Intern (2026) - US/EU",2025-11-22,United Kingdom,tech
lever,https://jobs.lever.co/vestiairecollective?gh_jid=5435956&department=,Vestiaire Collective,2025-11-25,United Kingdom,other
lever,https://jobs.lever.co/larian/27fc755d-40b6-43b9-b58a-3ca3ebb01fc7,Level Design Internship,2025-11-19,United Kingdom,tech
lever,https://jobs.lever.co/voleon/?by=team&workplaceType=hybrid,The Voleon Group,2025-11-29,United Kingdom,other
lever,https://jobs.lever.co/waremalcomb/56df5985-f81f-40f5-b79c-4388a529379f/apply,"Ware Malcomb - Intern, Civil Engineering",2025-11-22,United Kingdom,tech
lever,https://jobs.lever.co/tevora/078cf33f-c391-4539-ab08-a8ebe197dd4d/apply,Tevora - Cybersecurity Internship Winter 2026,2025-11-23,United Kingdom,other
lever,https://jobs.lever.co/shieldai/2ab7a6a5-e47d-4899-b924-01e6b61f5d88/apply?lever-source=Job%20postings%20feed&utm_source=therundown,Shield AI - 2026 Summer Intern - RF Engineering - (R4101),2025-11-27,United Kingdom,tech
lever,https://jobs.lever.co/sanctuary/3298ee39-cf66-4218-b857-51a59528e2f3/apply?lever-source=Job%20postings%20feed&utm_source=therundown,Sanctuary AI - Procurement Intern (Jan 2026),2025-11-28,United Kingdom,tech
lever,https://jobs.lever.co/shieldai/0f9800ed-7967-485a-bd3d-6a6e42d8d581,Mission Systems Engineering Co-op (R4071),2025-11-21,United Kingdom,tech
lever,https://jobs.lever.co/tevora/b5d5bd35-94ee-459d-a442-d94597640e43?lever-origin=applied&lever-source%5B%5D=JobTarget&source=JobTarget,Cybersecurity Internship Summer 2026 - Healthcare,2025-10-25,United Kingdom,tech
lever,https://jobs.lever.co/shieldai?source=post_page---------------------------&department=Finance%20Division,Shield AI,2025-11-26,United Kingdom,tech
lever,https://jobs.lever.co/tevora/480a3148-3423-459e-9902-4ea58f10ffd9?lever-origin=applied&lever-source%5B%5D=JobTarget&source=JobTarget,Cybersecurity Internship  Summer 2026 - International Organization for Standardization (ISO),2025-10-25,United Kingdom,tech
lever,https://jobs.lever.co/matchgroup/7f627ed1-54e7-4e5a-994f-24d99bf0bad5/apply,Match Group - Product Design Internship,2025-11-29,United Kingdom,other
lever,https://jobs.lever.co/zoox/77b65c9f-0f61-4395-bd38-051e2f27b8d2,Software Engineer - Automation Tools and Infrastructure,2025-11-24,United Kingdom,tech
